timeDuration,gender(M/F),Stu/Work,IE,AE,congruency,score(1)/evaluator(2),I_H/M/L,AS,A_H/M/L,AS-IS,SS,SF,ES,EF,age
558,2,1,2,1,0,2,2,7,2,3,7,7,7,5,22
516,2,1,2,2,1,1,2,7,2,1,6,6,7,7,21
645,1,1,1,2,0,2,1,5,2,3,4,4,5,3,22
255,1,2,2,2,1,1,1,6,2,5,6,6,6,6,41
644,2,1,2,2,1,2,2,2,1,-3,3,3,3,3,22
368,2,1,1,2,0,2,3,6,2,-2,4,5,6,5,23
454,1,1,2,2,1,2,2,6,2,1,7,7,7,7,22
464,1,1,2,1,0,1,3,7,2,-1,6,7,7,6,23
566,1,1,2,1,0,2,2,7,2,2,4,5,5,5,23
405,2,1,1,2,0,2,2,8,3,3,7,5,7,5,22
451,2,1,1,2,0,2,2,5,2,-1,6,6,6,6,22
382,2,1,2,2,1,1,2,3,1,-2,4,6,5,6,22
458,2,1,2,1,0,2,2,3,1,-3,2,3,2,3,23
477,1,1,1,2,0,2,3,2,1,-8,2,3,2,3,22
429,1,1,2,1,0,1,2,7,2,3,6,5,6,5,23
450,1,1,1,1,1,2,1,4,2,2,7,5,7,5,22
434,2,1,1,1,1,2,2,7,2,0,7,7,6,7,22
264,1,1,1,2,0,2,1,4,2,1,7,7,7,7,21
516,2,2,1,2,0,2,2,6,2,2,6,6,6,6,30
623,2,1,2,1,0,1,2,6,2,-1,4,3,2,3,20
423,2,1,1,2,0,2,2,6,2,1,7,6,7,5,23
571,2,2,2,2,1,2,1,8,3,6,2,2,3,2,29
579,2,1,1,1,1,2,2,9,3,3,6,3,6,3,20
798,2,2,1,1,1,2,2,8,3,3,6,6,6,6,28
582,2,2,1,1,1,1,1,7,2,4,7,7,7,7,39
530,2,2,2,1,0,2,2,7,2,1,7,5,7,5,44
324,2,1,2,2,1,2,3,4,2,-4,2,2,2,2,20
448,2,2,2,1,0,1,1,5,2,2,5,6,6,6,34
422,1,1,1,2,0,2,1,3,1,1,7,7,7,7,17
245,2,1,1,2,0,2,2,7,2,0,7,6,6,6,24
440,2,2,1,2,0,2,1,4,2,3,7,5,7,7,24
592,1,2,1,1,1,2,1,5,2,2,3,2,1,2,29
377,2,1,1,1,1,1,2,4,2,-1,4,4,4,4,25
421,2,1,1,2,0,2,1,6,2,3,6,7,6,6,24
509,2,1,1,2,0,2,2,5,2,-2,4,5,4,5,24
603,2,1,2,1,0,2,3,6,2,-2,3,6,3,6,23
415,2,2,1,1,1,1,1,7,2,6,7,7,7,7,24
591,2,2,1,2,0,2,2,8,3,2,6,5,6,6,40
516,2,2,2,1,0,2,1,3,1,0,4,4,4,4,26
