timeDuration,IS,gender(M/F),Stu/Work,AE,score(1)/evaluator(2),I_H/M/L,AS,A_H/M/L,AS-IS,SS,SF,ES,EF,age
385,4,2,1,1,1,2,3,1,-1,7,7,7,7,19
526,3,2,1,1,2,1,7,3,4,5,3,4,3,28
417,9,2,1,1,1,3,5,2,-4,3,3,3,3,21
929,3,2,1,2,1,1,8,3,5,7,1,4,1,21
317,6,1,1,1,2,2,8,3,2,7,7,7,7,26
404,6,2,1,2,2,2,6,2,0,5,5,4,5,26
380,5,2,1,2,2,2,7,3,2,6,6,5,6,19
436,7,2,1,2,2,3,5,2,-2,3,3,4,4,18
416,3,2,1,2,1,1,4,2,1,5,5,5,6,26
470,6,1,1,2,2,2,3,1,-3,4,4,4,4,19
455,3,2,1,2,2,1,6,2,3,3,2,3,3,23
610,8,2,1,2,2,3,4,2,-4,1,2,2,5,20
410,6,2,1,2,2,2,7,3,1,7,7,7,7,22
413,6,1,2,2,1,2,5,2,-1,7,7,7,7,22
376,8,1,1,2,1,3,8,3,0,6,6,6,6,22
431,6,2,1,2,1,2,9,3,3,5,2,4,3,21
405,3,1,1,2,2,1,7,3,4,3,2,3,3,23
253,9,2,1,2,2,3,4,2,-5,2,2,2,2,20
241,8,2,1,2,2,3,8,3,0,7,7,7,7,20
563,6,2,1,1,1,2,3,1,-3,2,3,3,3,20
397,7,1,1,1,1,3,8,3,1,7,7,7,7,19
410,7,1,1,1,1,3,7,3,0,7,7,7,7,20
424,5,2,1,1,2,2,4,2,-1,3,5,3,5,20
419,3,2,1,2,1,1,7,3,4,6,6,7,7,20
460,6,2,2,2,2,2,6,2,0,4,6,4,5,22
423,5,2,2,2,2,2,9,3,4,7,7,7,7,22
749,6,2,1,2,2,2,8,3,2,6,6,6,6,20
3401,5,2,1,2,1,2,2,1,-3,5,5,4,5,25
330,2,2,2,2,2,1,4,2,2,5,7,5,7,26
421,4,2,2,2,1,2,5,2,1,5,5,5,5,24
512,3,2,2,2,2,1,4,2,1,5,6,5,6,37
