IS;gender(M/F);Stu/Work;AE;score(1)/evaluator(2);I_H/M/L;AS;A_H/M/L;AS-IS;SS;SF;ES;EF;age
5;2;1;1;2;2;4;2;-1;3;5;3;5;20
3;2;1;2;1;1;7;2;4;6;6;7;7;20
6;2;2;2;2;2;6;2;0;4;6;4;5;22
5;2;2;2;2;2;9;3;4;7;7;7;7;22
6;2;1;2;2;2;8;3;2;6;6;6;6;20
5;2;1;2;1;2;2;1;-3;5;5;4;5;25
2;2;2;2;2;1;4;2;2;5;7;5;7;26
4;2;2;2;1;2;5;2;1;5;5;5;5;24
3;2;2;2;2;1;4;2;1;5;6;5;6;37
6;2;1;1;1;2;8;3;2;6;6;6;5;20
3;1;1;1;1;1;4;2;1;6;6;6;6;20
3;1;2;1;1;1;5;2;2;5;4;4;4;30
5;2;1;1;1;2;6;2;1;4;6;6;6;20
3;2;1;1;1;1;3;1;0;7;6;5;4;20
3;2;2;1;1;1;9;3;6;7;4;5;4;40
4;1;1;1;2;2;3;1;-1;2;6;6;6;20
6;2;2;2;1;2;4;2;-2;6;6;6;6;36
5;2;2;2;1;2;8;3;3;7;3;4;3;30
7;1;1;2;1;2;6;2;-1;6;7;6;7;21
7;1;1;2;1;2;9;3;2;4;4;5;5;20
8;2;1;1;2;3;9;3;1;7;6;7;6;20
7;2;1;2;2;2;8;3;1;7;7;6;7;20
7;1;1;2;2;2;2;1;-5;3;3;5;3;23
6;2;1;2;2;2;3;1;-3;3;4;5;4;23
6;1;1;2;2;2;2;1;-4;6;6;6;6;24
8;2;2;2;2;3;9;3;1;7;7;7;7;29
6;1;1;1;2;2;6;2;0;6;6;6;6;21
7;2;1;1;2;2;8;3;1;6;5;6;5;20
2;2;1;2;1;1;2;1;0;6;6;6;6;22
5;2;1;2;2;2;7;2;2;7;6;6;5;21
3;1;2;2;2;1;5;2;2;4;4;5;4;45
1;1;2;1;1;1;5;2;4;4;1;7;4;24
6;1;2;1;1;2;4;2;-2;5;4;4;4;32
6;1;1;1;1;2;4;2;-2;4;6;5;6;22
6;2;2;1;2;2;3;1;-3;4;4;4;4;42
4;1;1;1;2;2;3;1;-1;6;6;5;6;28
3;2;2;2;1;1;3;1;0;7;7;7;7;36
6;2;1;2;2;2;5;2;-1;5;5;5;5;25
7;2;1;2;2;2;8;3;1;6;4;5;4;22
5;2;1;2;2;2;5;2;0;5;6;5;6;24
5;2;1;2;1;2;3;1;-2;6;6;5;6;25
5;1;2;2;1;2;3;1;-2;7;6;7;6;24
7;2;2;2;2;2;7;2;0;7;5;7;5;42
3;2;2;2;2;1;5;2;2;3;3;5;3;37
5;2;2;2;2;2;8;3;3;7;7;7;7;26
4;2;2;2;2;2;8;3;4;7;5;6;5;37
4;2;1;1;1;2;2;1;-2;2;3;3;3;23
4;2;2;1;1;2;4;2;0;6;6;6;5;32
7;2;2;1;1;2;6;2;-1;6;4;6;4;33
3;2;2;1;1;1;8;3;5;5;5;7;5;33
5;2;1;1;2;2;4;2;-1;5;5;5;5;26
2;2;1;1;2;1;5;2;3;6;6;5;5;23
3;2;1;1;2;1;3;1;0;6;5;6;7;25
5;2;2;1;2;2;3;1;-2;5;6;5;6;31
5;2;2;2;1;2;8;3;3;7;7;6;5;25
1;2;2;2;1;1;4;2;3;5;6;6;6;31
5;2;1;2;2;2;9;3;4;6;3;6;3;26
3;2;2;2;1;1;4;2;1;7;7;7;7;40
1;1;2;2;1;1;7;2;6;7;6;6;7;30
