Descriptives - 结果满意度;;;;;;;;;;;;;
一致性;;实际得分;;Mean;SD;N;;;;;;;
不一致;;低;;3.1667;1.6061;24;4.4615;1.5028;26;;;;
;;中;;5.1692;1.4955;65;5.4247;1.3008;73;;;;
;;高;;5.76;1.1648;25;5.6154;1.6019;26;;;;
一致;;低;;;;;;;;;;;
;;中;;;;;;;;;;;
;;高;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Descriptives - 结果公平性;;;;;;;;;;;;;
一致性;;实际得分;;Mean;SD;N;;;;;;;
不一致;;低;;3.5417;1.5317;24;4.6538;1.3249;26;;;;
;;中;;5.1538;1.4602;65;5.6986;1.1141;73;;;;
;;高;;5.32;1.547;25;4.5385;1.2722;26;;;;
一致;;低;;;;;;;;;;;
;;中;;;;;;;;;;;
;;高;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Descriptives - 评分者满意度;;;;;;;;;;;;;
一致性;;实际得分;;Mean;SD;N;;;;;;;
不一致;;低;;3.75;1.391;24;4.5769;1.447;26;;;;
;;中;;5.2308;1.4871;65;5.6301;1.1366;73;;;;
;;高;;6;1.1547;25;5.8077;1.4972;26;;;;
一致;;低;;;;;;;;;;;
;;中;;;;;;;;;;;
;;高;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Descriptives - 评分者公平性;;;;;;;;;;;;;
一致性;;实际得分;;Mean;SD;N;;;;;;;
不一致;;低;;3.5;1.5323;24;4.8462;1.5412;26;;;;
;;中;;5.3231;1.3819;65;5.6575;1.1693;73;;;;
;;高;;5.28;1.6462;25;4.6923;1.6191;26;;;;
一致;;低;;;;;;;;;;;
;;中;;;;;;;;;;;
;;高;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
